,scores
1051,77.68700000000003
1052,44.973799999999514
1053,-62.69370000000056
1054,75.90180000000004
1055,-68.28130000000053
1056,-52.636400000000464
1057,70.00620000000006
1058,62.131099999999876
1059,-55.02310000000039
1060,58.777299999999805
1061,29.30349999999963
1062,81.99920000000003
1063,-52.03890000000039
1064,-58.96760000000019
1065,85.30920000000003
1066,-66.25850000000055
1067,73.16050000000001
1068,71.88
1069,-42.47310000000011
1070,78.45900000000005
1071,67.36070000000001
1072,-81.37650000000035
1073,-61.94120000000045
1074,-77.8492000000003
1075,-77.77820000000037
1076,-64.68400000000074
1077,58.820699999999725
1078,75.99260000000002
1079,84.46820000000004
1080,-78.69500000000055
1081,64.51369999999997
1082,54.047799999999825
1083,-54.94910000000023
1084,66.79830000000001
1085,-47.62760000000011
1086,59.9020999999998
1087,72.29450000000003
1088,-55.66370000000047
1089,68.7275
1090,-62.61890000000045
1091,-86.0252000000003
1092,85.68820000000004
1093,68.6491
1094,-54.26070000000046
1095,52.20809999999957
1096,73.1894
1097,-41.09540000000012
1098,86.30760000000004
1099,76.65910000000002
1100,55.749399999999866
1101,16.376699999999744
1102,-47.2359000000002
1103,89.11060000000003
1104,-111.82309999999973
1105,84.35560000000002
1106,-64.74330000000053
1107,-40.94360000000003
1108,56.488299999999754
1109,78.36030000000002
1110,-69.46800000000071
1111,76.18050000000001
1112,76.39000000000001
1113,-129.64110000000008
1114,76.98060000000002
1115,-39.68710000000005
1116,84.18730000000004
1117,-63.78290000000054
1118,-41.29840000000008
1119,89.71970000000003
1120,62.40359999999984
1121,-52.81650000000033
1122,-39.88640000000002
1123,-41.95780000000012
1124,-54.30880000000044
1125,-40.44660000000006
1126,65.48729999999992
1127,83.62890000000004
1128,-132.79669999999993
1129,-58.685800000000555
1130,-71.38460000000057
1131,-27.528399999999984
1132,69.70840000000003
1133,-89.12150000000013
1134,-31.901199999999957
1135,70.25210000000007
1136,67.40120000000002
1137,-85.50370000000048
1138,80.51050000000004
1139,-59.2185000000006
1140,-42.38360000000008
1141,-112.81500000000024
1142,-68.86880000000048
1143,80.39170000000003
1144,-48.593400000000194
1145,63.02859999999983
1146,-77.81830000000055
1147,-54.15020000000046
1148,80.38110000000005
1149,-54.919700000000375
1150,-61.50940000000056
1151,63.76829999999991
1152,-63.27510000000039
1153,-64.45880000000074
1154,-41.501300000000064
1155,79.39190000000002
1156,64.33769999999987
1157,-65.16270000000057
1158,71.89860000000006
1159,75.96300000000002
1160,79.26110000000001
1161,-35.99310000000004
1162,58.743899999999755
1163,71.94170000000004
1164,-41.62230000000013
1165,-69.6164000000005
1166,75.91880000000003
1167,-52.819500000000495
1168,-78.47680000000038
1169,-64.71000000000065
1170,39.928399999999556
1171,49.77359999999956
1172,-58.789300000000466
1173,-48.34000000000031
1174,87.38960000000003
1175,70.57010000000005
1176,49.73799999999952
1177,84.39940000000004
1178,77.68910000000005
1179,-59.31810000000052
1180,-45.323000000000114
1181,-49.54560000000036
1182,80.46250000000003
1183,51.517999999999645
1184,84.63090000000004
1185,58.11709999999976
1186,-50.86990000000034
1187,-89.2353999999999
1188,63.248199999999976
1189,-47.90850000000016
1190,72.95980000000002
1191,-42.45010000000012
1192,-13.529499999999985
1193,58.860599999999835
1194,70.31490000000002
1195,58.76359999999986
1196,79.44300000000003
1197,-41.44690000000004
1198,-55.411600000000476
1199,83.46030000000005
1200,-45.863700000000186
1201,-65.7348000000007
1202,-66.24100000000051
1203,-49.37120000000046
1204,87.23860000000003
1205,85.97750000000002
1206,-90.79209999999993
1207,-65.45440000000052
1208,75.33110000000002
1209,48.1095999999995
1210,72.01060000000001
1211,-34.10870000000002
1212,80.81780000000002
1213,73.32970000000002
1214,75.73930000000001
1215,-42.56350000000009
1216,65.5488
1217,64.83709999999994
1218,-81.66350000000065
1219,69.46900000000004
1220,-43.454300000000146
1221,-84.99640000000004
1222,-64.69900000000061
1223,-43.06280000000015
1224,-85.26660000000037
1225,78.67110000000002
1226,-60.84290000000058
1227,-60.86580000000041
1228,61.519599999999876
1229,-68.58450000000056
1230,82.24920000000006
1231,49.53719999999956
1232,58.00499999999981
1233,69.66770000000001
1234,82.58600000000004
1235,-51.10270000000025
1236,32.27759999999965
1237,86.43410000000004
1238,65.33749999999996
1239,-48.60090000000034
1240,-46.79560000000017
1241,57.142499999999764
1242,-97.2326999999999
1243,-57.16340000000045
1244,-52.94700000000032
1245,86.75860000000004
1246,-66.86790000000029
1247,-83.14100000000042
1248,70.93760000000002
1249,-62.05250000000051
1250,-63.367200000000466
1251,-99.37620000000018
1252,24.396699999999527
1253,-85.3721000000002
1254,51.14259999999961
1255,-64.87730000000063
1256,-67.26240000000061
1257,-77.97720000000032
1258,-69.06840000000052
1259,-91.40939999999995
1260,-41.869400000000084
1261,86.62990000000003
1262,75.64010000000003
1263,73.34680000000002
1264,-54.78190000000049
1265,73.12940000000002
1266,70.0497
1267,-59.83710000000055
1268,86.43850000000003
1269,56.66919999999967
1270,-81.82970000000061
1271,-63.054200000000485
1272,73.61920000000002
1273,-50.66450000000033
1274,49.1309999999995
